what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349646173324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1349646174880
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349646175333
started,bundle,org.jboss.tools.jst.text.ext,3.3.1.v20120715-0241-H93-Final,"org.jboss.tools.jst.text.ext",1349646176205
started,bundle,org.eclipse.mylyn.java.tasks,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.tasks",1349646176235
started,bundle,org.jboss.tools.jsf.text.ext,3.3.1.v20120715-0313-H119-Final,"org.jboss.tools.jsf.text.ext",1349646176306
started,bundle,org.jboss.tools.cdi.text.ext,1.2.0.v20120611-1827-H85-Final,"org.jboss.tools.cdi.text.ext",1349646176500
started,bundle,org.jboss.tools.cdi.seam.text.ext,1.2.0.v20120611-1827-H85-Final,"org.jboss.tools.cdi.seam.text.ext",1349646176500
error,log,,,"GlassFish: deploy is failing=",1349646176877
error,log,,,"cannot Deploy ger-curriculoEAR",1349646176879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349646176966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349646181967
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1349646185065
started,bundle,org.jboss.tools.common.verification.ui,3.3.1.v20120715-0209-H81-Final,"org.jboss.tools.common.verification.ui",1349646186166
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.stop",1349646187432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349646193006
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349646194651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349646201990
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349646203013
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1349646203020
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1349646210316
