what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1348965283742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348965287422
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348965288188
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1348965288194
error,log,,,"GlassFish: deploy is failing=",1348965288684
error,log,,,"cannot Deploy ger-curriculoEAR",1348965288686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348965288914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348965290151
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348965297489
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348965297596
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1348965299053
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1348965300049
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1348965302024
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1348965302551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348965303694
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348965307705
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1348965307723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348965309116
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348965311352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348965311385
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1348965311523
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348965313928
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348965314091
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1348965318114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348965320272
error,log,,,"GlassFish: deploy is failing=",1348965323582
error,log,,,"cannot Deploy ger-curriculoEAR",1348965323584
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348965323680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348965323743
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348965323805
