what,kind,bundleId,bundleVersion,description,time
started,bundle,org.jboss.tools.project.examples,1.3.1.v20120715-0342-H116-Final,"org.jboss.tools.project.examples",1347759398057
started,bundle,org.jboss.tools.runtime.ui,1.3.0.v20120611-2354-H105-Final,"org.jboss.tools.runtime.ui",1347759398057
started,bundle,org.jboss.tools.seam.core,3.3.0.v20120612-1916-H130-Final,"org.jboss.tools.seam.core",1347759398058
started,bundle,org.jboss.tools.seam.pages.xml,3.3.0.v20120612-1916-H130-Final,"org.jboss.tools.seam.pages.xml",1347759398059
started,bundle,org.jboss.tools.seam.ui,3.3.0.v20120612-1916-H130-Final,"org.jboss.tools.seam.ui",1347759398059
started,bundle,org.jboss.tools.seam.xml,3.3.0.v20120612-1916-H130-Final,"org.jboss.tools.seam.xml",1347759398060
started,bundle,org.jboss.tools.usage,1.1.0.v20120715-0228-H72-Final,"org.jboss.tools.usage",1347759398061
started,bundle,org.maven.ide.eclipse.wtp.overlay,0.15.2.20120306-2040,"org.maven.ide.eclipse.wtp.overlay",1347759398061
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1347759398061
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1347759398062
started,bundle,oracle.eclipse.tools.glassfish,4.2.1.201201241947,"oracle.eclipse.tools.glassfish",1347759398063
os,sysinfo,,,"win32",1347759398066
arch,sysinfo,,,"x86_64",1347759398066
ws,sysinfo,,,"win32",1347759398066
locale,sysinfo,,,"pt_BR",1347759398066
processors,sysinfo,,,"2",1347759398066
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1347759398066
java.runtime.version,sysinfo,,,"1.6.0_35-b10",1347759398066
java.specification.name,sysinfo,,,"Java Platform API Specification",1347759398066
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1347759398066
java.specification.version,sysinfo,,,"1.6",1347759398066
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1347759398066
java.version,sysinfo,,,"1.6.0_35",1347759398066
java.vm.info,sysinfo,,,"mixed mode",1347759398066
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1347759398066
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1347759398066
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1347759398066
java.vm.specification.version,sysinfo,,,"1.0",1347759398066
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1347759398066
java.vm.version,sysinfo,,,"20.10-b01",1347759398066
started,bundle,org.jboss.tools.jmx.core,1.3.1.v20120715-0236-H78-Final,"org.jboss.tools.jmx.core",1347759398334
started,bundle,org.jboss.ide.eclipse.as.jmx.integration,2.3.1.v20120715-0243-H142-Final,"org.jboss.ide.eclipse.as.jmx.integration",1347759398335
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1347759398351
